ShotMarker Archived Data (generated Sep 21 2026)
Exported 6 strings from Sep 12 of 145 total in archive

Sep 12 2026,M6 R1 TT11,#220 (),1887 x 1908,NRA Long Range FC at 1000y,134-3X,142-4X,
,time,tags,id,score,temp C,x mm,y mm,v fps,yaw deg, pitch deg,quality,xy_err
,11:31.22 am,incomplete,12,X,25,-22,-29,1888,1.6,-1.9,,0,"sim_t(25,864,636,1628,1685,0,636,756,866);"
,11:31.40 am,incomplete,13,X,25,14,-3,1883,1.5,-1.9,,0,"sim_t(25,1158,608,876,1356,292,608,0,533);"
,11:31.56 am,incomplete,14,10,25,60,-66,1897,1.8,-2.7,,0,"sim_t(25,1297,1510,1157,800,442,1510,277,0);"
,11:32.16 am,incomplete,15,10,25,-62,80,1898,1.6,-2.1,,0,"sim_t(25,2144,0,1695,3562,1292,0,828,2751);"
,11:32.32 am,incomplete,16,10,25,-61,-105,1890,1.6,-2.7,,0,"sim_t(25,853,1777,3256,2358,0,1777,2373,1551);"
,11:32.54 am,incomplete,17,10,25,-94,-34,1888,1.3,-2.6,,0,"sim_t(25,847,442,2539,2755,0,442,1654,1941);"
,11:33.12 am,incomplete,18,10,25,-99,-13,1878,0.5,-2.1,,0,"sim_t(25,849,251,2187,2594,0,251,1293,1756);"
,11:33.33 am,incomplete,19,10,25,-72,-10,1876,1.4,-2.7,,0,"sim_t(25,853,21,1792,2410,0,22,902,1593);"
,11:33.54 am,incomplete,20,9,25,-118,91,1879,2.2,-2.5,,0,"sim_t(25,2496,0,2796,4918,1637,0,1927,4113);"

Sep 12 2026,M2 R2 TT11,#220 (),1887 x 1908,NRA Long Range FC at 1000y,192-1X,
,time,tags,id,score,temp C,x mm,y mm,v fps,yaw deg, pitch deg,quality,xy_err
,10:29.32 am,sighter/incomplete,S1,9,23,21,172,1877,1,-2.5,,0,"sim_t(23,4468,1749,890,4441,3620,1749,0,3619);"
,10:29.57 am,sighter/incomplete,S2,9,23,178,100,1879,1.1,-1.7,,0,"sim_t(23,5620,3505,884,3182,4756,3505,0,2350);"
,10:30.24 am,incomplete,1,9,23,189,9,1884,1.7,-2.4,,0,"sim_t(23,4295,3418,885,1739,3430,3418,0,929);"
,10:30.50 am,incomplete,2,9,23,149,-21,1907,0.4,-1.9,,0,"sim_t(23,3392,3177,883,1053,2550,3177,0,228);"
,10:31.11 am,incomplete,3,10,23,70,42,1901,1.4,-2,,0,"sim_t(23,2910,1507,872,2175,2056,1507,0,1362);"
,10:31.30 am,incomplete,4,10,23,35,85,1890,1.4,-2.1,,0,"sim_t(23,3089,952,877,2926,2235,952,0,2110);"
,10:31.52 am,incomplete,5,10,24,96,0,1903,1.5,-2.3,,0,"sim_t(24,2693,2009,876,1546,1842,2009,0,741);"
,10:32.15 am,incomplete,6,10,24,-83,39,1889,1.4,-2.1,,0,"sim_t(24,1511,0,1967,3204,658,0,1091,2386);"
,10:32.34 am,incomplete,7,10,24,-94,-65,1877,1.6,-2.6,,0,"sim_t(24,857,1122,3161,2900,0,1122,2275,2086);"
,10:32.52 am,incomplete,8,10,24,-77,-27,1869,1.9,-2.5,,0,"sim_t(24,866,489,2387,2675,0,489,1504,1860);"
,10:33.15 am,incomplete,9,10,24,59,-113,1876,1.5,-2.3,,0,"sim_t(24,1391,2437,2027,818,525,2437,1137,0);"
,10:33.34 am,incomplete,10,9,24,134,-24,1889,1.1,-2.1,,0,"sim_t(24,2953,2669,886,1064,2096,2669,0,242);"
,10:33.54 am,incomplete,11,9,24,199,-70,1901,1.1,-1.9,,0,"sim_t(24,3876,4299,1550,819,3020,4299,670,0);"
,10:34.34 am,incomplete,12,10,24,96,81,1908,0.9,-2,,0,"sim_t(24,4102,2150,875,2875,3258,2151,0,2060);"
,10:34.58 am,incomplete,13,X,24,-12,31,1895,0.9,-2,,0,"sim_t(24,1491,325,879,1957,642,325,0,1134);"
,10:35.23 am,incomplete,14,10,24,70,-16,1879,1.8,-2.4,,0,"sim_t(24,1940,1341,883,1302,1074,1341,0,490);"
,10:35.44 am,incomplete,15,10,24,104,-61,1900,1.1,-2,,0,"sim_t(24,2252,2561,1294,818,1399,2561,414,0);"
,10:36.03 am,incomplete,16,9,24,169,18,1896,1.4,-2,,0,"sim_t(24,4112,3201,878,1788,3254,3201,0,972);"
,10:36.36 am,incomplete,17,9,24,211,9,1890,1.2,-1.9,,0,"sim_t(24,4653,3921,883,1624,3792,3921,0,803);"
,10:37.06 am,incomplete,18,9,24,-140,28,1898,0.4,-2,,0,"sim_t(24,1314,0,2648,3667,477,0,1764,2837);"
,10:37.26 am,incomplete,19,9,24,-150,-18,1913,0.1,-1.9,,0,"sim_t(24,829,463,3051,3336,0,463,2170,2507);"
,10:37.46 am,incomplete,20,10,24,-117,-41,1894,1.6,-2.6,,0,"sim_t(24,848,686,3134,3243,0,686,2257,2437);"

Sep 12 2026,M1 R2 TT11,#220 (),1887 x 1908,NRA Long Range FC at 1000y,191-1X,
,time,tags,id,score,temp C,x mm,y mm,v fps,yaw deg, pitch deg,quality,xy_err
,9:34.08 am,sighter/incomplete,S1,7,22,479,-227,1872,1.2,-1.9,,0,"sim_t(22,8992,11457,4967,830,8113,11457,4064,0);"
